Country,Date,Site,URL,Title,Content
Hungary,2024. március. 11. 18:46,hvg.hu,https://hvg.hu//ingatlan/20240311_airbnb-tilalom-belteri-kamera,"Az Airbnb mostantól megtiltja, hogy a tulajdonosok kamerákat helyezzenek el a lakásokban","A kültéri biztonsági kamerák maradhatnak.









Az Airbnb április 30-ától megtiltja a beltéri biztonsági kamerák használatát a rendszerét használó lakástulajdonosoknak – írja a Business Insider. A döntés értelmében a tulajdonosoknak le kell szerelniük a kamerákat a folyosókról és a közös helyiségekből, ahol eddig – a vendégek figyelmeztetése mellett – engedélyezettek voltak. Aki a tilalmat megszegi, azt a cég közlése szerint törlik az oldalról. A hálószobák bekamerázását már korábban megtiltotta, a kültéri biztonsági kamerák használatát viszont továbbra is engedélyezi a vállalat."
Hungary,2024. február. 22. 11:42,hvg.hu,https://hvg.hu//ingatlan/20240222_Felverik_az_ingatlanarakat_a_szazmillio_forintokat_dobalo_kulfoldi_befektetok,"Visszatértek a külföldiek az ingatlanpiacra, újból megugorhatnak az árak","Kezd magához térni az ingatlanpiac, visszatértek a külföldi, befektetési célú vásárlók is Budapest belvárosába, akik készek bőven 100 millió forint fölött költeni egy lakásra, ezzel újraindul az árak felhajtása.









A 2023-as pangást követően újra élénkül az ingatlanpiac, a Duna House adatai alapján 2024 első hónapjában a fővárosban ingatlant szerzők 36 százaléka befektetési céllal szerződött, ők átlagosan 57,7 millió forintot fordítottak, 70 négyzetméter alapterületű lakásokra” – ismertette a rendelkezésére álló adatokat Benedikt Károly, a Duna House PR és elemzési vezetője.A befektetők számára kiemelt lokációnak számít a főváros belvárosa, azon belül is a VI. kerület, hiszen ez a belvárosi terület a legrugalmasabb a rövid távú lakáskiadás engedélyezése tekintetében, központi elhelyezkedése miatt pedig kifejezetten keresett a turisták körében.A VI. kerületben befektetési céllal kereső érdeklődők leginkább a 60-100 négyzetméteres alapterülettel rendelkező lakásokat preferálják, hiszen a rövid távú lakáskiadás esetében annál magasabb a hozam, minél több ember elszállásolására alkalmas az ingatlan.A hazai befektetők aktivitása mellett az idei év első másfél hónapjának tapasztalata alapján fokozódott a külföldi ingatlanbefektetők jelenléte is, ők javában 100 millió forint feletti összeget szánnának budapesti, belvárosi ingatlan vásárlására. A külföldi vevők visszatérése jelentős hatással lehet a belvárosi ingatlanok árszintjére, a belvárosi ingatlanok áremelkedése pedig fokozatosan kihat majd a többi központi kerület mellett a külső kerületek ingatlanáraira is."
Hungary,2024. január. 11. 18:02,hvg.hu,https://hvg.hu//kkv/20240111_Satrakat_allitott_fel_a_nappalijaban_egy_londoni_lakos_es_ejszakankent_tobb_tizezer_forintot_ker_ertuk,"Sátrakat állított fel a nappalijában, éjszakánként több tízezer forintot kér értük az Airbnb-n egy londoni lakos és még népszerű is","Ön sátrazna vadidegenekkel éjszakánként 30 ezer forintért Nagy-Britannia fővárosában?








Egy londoni lakástulajdonos éjszakánként 68 fontért, vagyis majdnem 30 ezer forintért ad ki olyan „romantikus” sátrakat az Airbnb, amelyeket a nappalijában állított fel – írja az Independent.Igaz, a lap talált olcsóbb időszakokat is, amikor „csak” 38 fontba, azaz nagyjából 17 ezer forintba kerül ez a furcsa szállás egy éjszakára.Ha azt vesszük alapul, hogy Sohóban, ahol a nappaliban felállított sátrak találhatóak, az átlagos bérletidíj éjszakánként 89 font (40 ezer forint) körül alakul, akkor egész kedvezőnek tűnhet az ajánlat. Érdemes ugyanakkor megjegyezni, hogy az olcsó árért cserébe fel kell készülni arra, hogy a kibérelt sátor mellett más sátrakban is alszanak majd emberek, ugyanabban a nappaliban.A hirdetésben ugyanis egy olyan kép látható, amin egymás mellett három sátor áll a szobában:Jam Press/AirbnbEnnek ellenére az eddigi vendégek meg voltak elégedve a nappaliban sátrazással, a szállást eddig ugyanis 4,45-re értékelték 5-ös skálán.Ide kattintva eléri a Nyüzsi további cikkeit, azonnali véleményeket, érdekességeket, szórakoztató mémeket, gif-eket, videókat."
Hungary,2023. november. 16. 11:19,hvg.hu,https://hvg.hu//kkv/20231116_unio_Airbnb_Booking_szabalyozas,Megállapodott az unió az Airbnb és a Booking szabályozásáról,"Itt az ideje a szigorításnak. 








Szerda éjjel alkut kötött az Európai Parlament és a Tanács arról, hogyan szabályozzák a rövid távú lakáskiadást. A közlemény szerint a tervet leginkább az olyan szolgáltatásokat érintené, mint az Airbnb, a Booking és az Exepedia.A folyamatban ingyenesen vagy arányos díjért lehet majd az interneten keresztül regisztrálni a rövid távra kiadott ingatlanokat, majd a főbérlők egy regisztrációs számot kapnak, amivel kiadhatjuk az adott ingatlant. Ezen keresztül tudnák a hatóságok ellenőrizni az adatokat. A regisztrációs szám alapján a felhasználóknak tudniuk kell azonosítaniuk az ingatlan a platformokon, és arra is ügyelniük kell, hogy a szolgáltatott információk megbízhatóak legyenek.Aki áthágja a szabályokat, azok számára felfüggesztik a regisztrációs szám használatát, és joguk van a hatóságoknak leszedni az illegális hirdetéseket, és büntetéseket kiszabni. A tagállamok emellett létrehoznak egy közös felületet is, ahol a nagyobb platformoknak havonta kell adatokat küldeniük a lakáskiadók tevékenységéről.Eddig az nehezítette leginkább a szabályok kialakítását, hogy a lakáskiadási platformok elzárkóztak az adatok megosztása elől. A javaslat parlamenti felelőse szerint a városok azonban harcolnak az illegálisan nyaralási célra kiadott ingatlanok elszaporodásával, és ez Európa-szerte nyomás alatt tartja a városok élhetőségét és megfizethetőségét. Ezzel azonban a cégek helyett az önkormányzatok ülhetnek a nyeregbe.Az EP-nek és a Tanácsnak még hivatalosan el kell fogadnia a döntést. Ha mindkét intézményen átmegy a javaslat, a tagállamoknak két évük lesz rá, hogy kialakítsák a szükséges feltételeket a rendszerhez.






* * *
Támogatott hitel vállalkozások számára
A Széchenyi Kártya Program némileg megváltozott feltételekkel, Széchenyi Kártya Program MAX+ néven folytatódik 2023-ban. Ennek köszönhetően év végéig fix 5 százalékos kamat mellett kaphatnak kölcsönt céljaik megvalósításához a vállalkozások. Ez a jelenlegi piaci kamatozású vállalkozói hitelekhez képest 12-18 százalékos kamatelőnyt jelent. A Bankmonitor Széchenyi Hitel kalkulátorával a vállalkozások ellenőrizhetik, hogy milyen támogatott hitelt igényelhetnek."
Hungary,2023. november. 14. 16:48,hvg.hu,https://hvg.hu//kkv/20231114_A_Booking_tanult_az_Airbnb_esetebol_es_ingabb_magatol_fizet_az_olasz_adohatosagnak,A Booking tanult az Airbnb esetéből és inkább magától fizet az olasz adóhatóságnak,"A genovai ügyészség jelentette be azt, hogy a Booking szállásportál üzemeltetője 94 millió eurót hajlandó fizetni azért, hogy a cég az olaszországi áfapert peren kívül rendezzék. Eredetileg több mint 150 millió eurós tartozást állapítottak meg az olasz hatóságok.








A Booking.com beleegyezett, hogy 94 millió eurót, azaz csaknem 36 milliárd forintot fizet egy olaszországi áfaper rendezése érdekében. Az ügyről az Inforádiónak nyilatkozó turisztikai szakértő, Kassay Tamás szerint a megállapodásnak az Airbnb hasonló ügyének is köze lehet.Az olasz hatóságok szerint a szállásfoglaló portál, a Booking 2013 és 2019 közt 58 milliárd forintnyi (153 millió euró) adót nem fizetett be Olaszországban. Azzal, hogy peren kívül egyezett meg az olasz hatóságokkal, a Booking valamiféle mulasztást elismert, annak ellenére, hogy a cég álláspontja szerint a szállásadóknak kellett volna megfizetniük.Kísértetiesen közel van időben a múlt hét hétfő a múlt hét pénteki egyezséghez, amikor is szintén egy ugyanilyen adóper kapcsán egy olasz bíróság lefoglalt 700 millió eurót, ami majdhogynem 300 milliárd forint, mégpedig az Airbnb írországi központjától azért, mert Olaszországban ugyancsak a magánszálláshelyek helyett ők nem szedték be az adót, és nem fizették azt meg– vont párhuzamot a szakértő, aki szerint hasonló helyzet elől menekülhetett meg a Booking azzall, hogy egy az eredeti tartozásnál lényegesen kisebb összeg kifizetését vállalta. Kassay Tamás arról is beszélt, hogy új funkciók bevezetése állhatott nyáron annak a Magyarországon is nagy port kavart ügynek a hátterében, hogy a Booking késve fizetett a szállásadóknak. Ezt a Booking.com vezérigazgatója, Glenn Fogel ismerte el egy szállásadóknak kiküldött bocsánatkérő levélben: Az Airbnb ügyéről itt írtunk részletesebben: 






* * *
Támogatott hitel vállalkozások számára
A Széchenyi Kártya Program némileg megváltozott feltételekkel, Széchenyi Kártya Program MAX+ néven folytatódik 2023-ban. Ennek köszönhetően év végéig fix 5 százalékos kamat mellett kaphatnak kölcsönt céljaik megvalósításához a vállalkozások. Ez a jelenlegi piaci kamatozású vállalkozói hitelekhez képest 12-18 százalékos kamatelőnyt jelent. A Bankmonitor Széchenyi Hitel kalkulátorával a vállalkozások ellenőrizhetik, hogy milyen támogatott hitelt igényelhetnek."
Hungary,2023. november. 07. 12:28,hvg.hu,https://hvg.hu//kkv/20231107_lefoglalas_adocsalas_Airbnb_olasz_kormany,Az olasz hatóságok 780 millió eurót foglalnak le az Airbnb-től adócsalás miatt,"A milánói ügyészség közlése szerint 2017 és 2021 között a szállásszervező cég nem tett eleget az olasz törvényeknek, és nem fizették be a 21 százalékos adót a bérbeadásból származó jövedelmük után.








779,5 millió euró lefoglalását rendelte el egy olasz bíróság az Airbnb írországi központjától adócsalás miatt, közölte a milánói ügyészség hétfőn, írja a Reuters.A vizsgálat szerint az Airbnb nem tartotta be a 2017-es adótörvény előírását, azt, hogy a szállásadóktól beszedett jövedelmek 21 százalékát vissza kell tartaniuk, hogy befizessék az olasz adóhatóságoknak. A nyomozás három menedzser felelősségét vizsgálja, akik 2017 és 2021 között, amikor az állítólagos jogsértés történt, vezetői szerepet töltöttek be.Az Airbnb szóvivője azt nyilatkozta a Reutersnek, az Airbnb Ireland 2023 júniusa óta aktív tárgyalásokat folytat az olasz adóhatósággal az ügy megoldása érdekében, ezért a vállalat meglepődött és csalódott a döntés miatt. Álláspontjuk szerint ők a törvényeknek teljes mértékben megfelelve jártak el.A vállalat sikertelenül támadta meg az ügyészek által hivatkozott 2017-es törvényt. A jogi csata tavaly decemberben azzal zárult, hogy az Európai Unió Bírósága az olasz kormány javára döntött.Giorgia Meloni olasz miniszterelnök a rövid távú ingatlan bérbeadás adóját 21 százalékról 26 százalékra tervezi emelni a későbbiekben és azt, hogy az ezzel összefüggő adócsalások számát visszaszorítják.






* * *
Támogatott hitel vállalkozások számára
A Széchenyi Kártya Program némileg megváltozott feltételekkel, Széchenyi Kártya Program MAX+ néven folytatódik 2023-ban. Ennek köszönhetően év végéig fix 5 százalékos kamat mellett kaphatnak kölcsönt céljaik megvalósításához a vállalkozások. Ez a jelenlegi piaci kamatozású vállalkozói hitelekhez képest 12-18 százalékos kamatelőnyt jelent. A Bankmonitor Széchenyi Hitel kalkulátorával a vállalkozások ellenőrizhetik, hogy milyen támogatott hitelt igényelhetnek."
Hungary,2023. október. 27. 22:03,hvg.hu,https://hvg.hu//tudomany/20231027_airbnb_lakasberles_mesterseges_intelligencia_bevetese_hazibulik_ellen_szallasfoglalas,Házibuli egy Airbnb-lakásban? A mesterséges intelligencia segít lefülelni az ilyen próbálkozásokat,"Buliellenes mesterségesintelligencia-rendszert indít az Airbnb, mely több szempont mentén igyekszik megállapítani, hogy egy adott foglalás célja lehet-e az, hogy házibulit akarnak ott tartani a bérlők.









Új eszközökkel lépne fel az ingatlanban sokszor kárt okozó házibulikkal szemben az Airbnb, és ebben a mesterséges intelligenciának is szerep jut.A cég először Amerikában és Kanadában teszteli a rendszert a halloweeni időszak alatt, hogy így vegye elejét a nem engedélyezett házibuliknak – de a jelek szerint már az általános, globális bevezetés is küszöbön van. A mesterséges intelligencia és gépi tanulás segítségével működő rendszer igyekszik kiszűrni azokat az egy- és kétéjszakás foglalásokat, amelyeket feltehetőleg azért indítanak, hogy ott házibulit tartsanak.Az Airbnb technológiája több száz jelet elemez a foglalási kísérlet során, melyek jogosulatlan bulit jelezhetnek: például a foglalás hosszát, hogy a foglaló milyen messze él a szálláshelytől, és hogy last minute-e a szállásfoglalás. A halloweeni hétvége során bizonyos gyanús egy- és kétéjszakás foglalásokat a rendszer visszautasíthat, de a szállásfoglalóknak azt igazolniuk kell, hogy megértették: az Airbnb szabályzata tiltja a bulikat. Ha ezt a foglaló megszegi, annak felfüggesztés, vagy a platformról történő eltiltás a büntetése.A funkció más ünnepek során, például újévkor is hasznos lehet, ugyanis ekkor is sokan vehetnek ki lakásokat bulikhoz, de a különféle jelek segítségével az MI segítheti kiszűrni az ilyen próbálkozásokat. A megoldás ráadásul csak jobb lesz, ahogy egyre több adatot dolgoz fel, és ebből tanul a rendszer.A lépés azért is indokolt, mert egy házibulinak bizony nyoma maradhat egy ingatlanban – ez pedig érthető okokból nemkívánatos bérbeadói oldalról. A mesterséges intelligencia azonban ebben az alkalmazásban is hasznosnak bizonyulhat.Ha máskor is tudni szeretne hasonló dolgokról, lájkolja a HVG Tech rovatának Facebook-oldalát."
Hungary,2023. október. 06. 16:19,hvg.hu,https://hvg.hu//kkv/20231006_Airbnb_vendeg_542_nap_kikoltozes,"Bekövetkezett az airbnb-s házigazdák rémálma: a vendég 541 napja nem fizet, és pénzt is kér a kiköltözésért","A bírói döntés szerint a házigazdának nincs joga ahhoz, hogy kilakoltassa a vendégét, mondván, hogy a kiadott ingatlan nem felel meg a jogszabályoknak.








Pórul járt az a kaliforniai Airbnb-s házigazda, aki nem jelentette be megfelelően az ingatlanját, ezért 541 nap után sem tud megszabadulni a vendégétől – írja a Business Insider.Sascha Jovanovic úgy adta ki 2021 szeptemberében a Los Angeles-i vendégházát Elizabeth Hirschhorn-nak hosszú távra, hogy közben nem rendelkezett lakhatási engedéllyel, illetve zuhanyzó építésére vonatkozó engedélye sem volt, így, mint utóbb kiderült, a kaliforniai törvények szerint nem volt legális a bérbeadás.Hirschhorn hat hónapra bérelte ki a vendégházat éjszakánként 105 dollárért, azonban öt hónap elteltével Jovanic felajánlotta, hogy Hirschhornt egy hotelben szállásolja el ideiglenesen, amíg az ingatlanon javításokat végez. Azonban ezt Hirschhorn visszautasította, ahogy azt is, hogy ideiglenesen a férfi otthonában szálljon meg.Mint írják, innentől feszült lett a hangulat a két fél közt. Hirschhorn eredetileg tervezett airbnb-s tartózkodása 2022. március 19-én véget ért, azonban házigazdájával megegyeztek abban, hogy április 12-ig maradhat, eddig kereshet magának új szállást.A bérleti szerződés március 19-e utáni meghosszabbítása azt jelentette, hogy az Airbnb már nem vállalt felelősséget a kaidásért. Ezek után Hirschhorn április 12-én leállította a bérleti díj fizetését.Ezzel egy időben a bérlő kapcsolatba lépett az Építésügyi és Biztonsági Osztállyal, amely megállapította, hogy a vendégház két szabályt is megszegett: a zuhanyzó engedély nélkül létesült, és lakhatási engedéllyel sem rendelkezett a tulajdonos.Hirschhorn egy másik panaszt is benyújtott egy vásrosi tisztviselőnek, amelyben illegális kilakoltatásra, zaklatásra és az áthelyezési díj meg nem fizetésére hivatkozott.A tisztviselő egyetértett azzal, hogy mivel az ingatlan tulajdonosa megsértette a városi előírásokat, Jovanovicnak vissza kell vonnia az addig elküldött kilakoltatási felszólításait, mindaddig, amíg nem tudja bizonyítani, hogy az egység megfelel a követelményeknek.Azonban itt jöttek a nehézségek: Hirschhorn állítólag nem engedte be a férfit a lakásba. Ráadásul Hirschhorn több mint hat hónapja lakik az ingatlanban, így mostanra már rá is vonatkozik az a bérlőket védő szabály, ami megköveteli a bérbeadótól, hogy törvényes indokot adjon a kilakoltatásra.Azonban, ha nincs ilyen indok, a főbérlőnek ki kell fizetnie a költözési támogatást.Jovanovic azonban ezt nem hagyta annyiban: ügyvédjével két fronton próbálta beperelni Hirschhorn-t: kártérítési panasszal a kifizetetlen bérleti díj behajtására, és a kilakoltatás törvénytelen visszatartására. Az ügyvéd szerintamennyiben Hirschborn nyer, örökre bérmentve maradhat az ingatlanban. Azonban, a bérlő azt állítja, hogy akkor fog kiköltözni, ha pénzt fizetnek neki a távozásért.Sascha Jovanovic ezt nem hagyta annyiban: azt állítja, hogy nem hajlandó semmilyen egyezséget elfogadni, amiben neki kellene fizetnie, miután már eddig is több mint 60 000 dollár bérleti díjjal tartoznak neki.Hirschhorn ügyvédje azonban azt mondta, hogy ""a főbérlő megszegte a törvényt, és megpróbált pénzt keresni azzal, hogy illegális vendégházat adott bérbe. Miután lebukott, ahelyett, hogy a törvény szerint cselekedett volna, megfélemlítéshez, zaklatáshoz folyamodott, és hazugságokkal próbálta eltüntetni a nyomait.""A házigazda vitte a bíróságra az ügyet, ahol a bíró úgy döntött, hogy nincs joga ahhoz, hogy kilakoltassa a vendégét, mondván, hogy a kiadott ingatlan nem felel meg a jogszabályoknak."
Hungary,2023. október. 03. 17:16,hvg.hu,https://hvg.hu//elet/20231003_Firenze_airbnb_betiltas_szigoritas_szabalyozas_turizmus_lakhatasi_valsag,Firenze az Airbnb betiltásával oldaná meg a lakhatási válságot,"2016-ban még alig 6000 firenzei lakás szerepelt az Airbnb-n, ma már több mint 14 ezer, ennek pedig a városvezetés szerint a helyiek látják kárát. 









Firenze vezetése szigorít, betiltják az új Airbnb-t és az ahhoz hasonló, rövid távú lakáskiadást a történelmi városközpontban, írja a Guardian. Azzal az indokkal teszik ezt, hogy több lakást tegyenek elérhetővé a helyiek számára, így mérsékeljék a lakhatási válságot.A város polgármestere, Dario Nardella elmondta: 2016-ban még alig 6000 lakás szerepelt az Airbnb-n, ma már több mint 14 ezer. Ez idő alatt a havi lakásbérleti díjak átlagára 42 százalékkal nőtt, idén pedig 15 százalékkal emelkedtek az árak. A központban élő 40 ezer városlakó arról panaszkodik, hogy a társasház, amiben laknak, hirtelen apartmanhotellé változott, fogalmazott a városvezető.Más európai országokhoz hasonlóan Olaszországban is probléma az alacsony bérezés, az ingatlanhiány, a rövid távú lakáskiadás és a magas infláció, amelyek együttesen lakhatási válságot idéztek elő.Az Airbnb még nem reagált a lépésre. Korábban egyébként hasonlóan léptek fel velük szemben New Yorkban, ahol szeptember elején szinte teljesen ellehetetlenítették a rövid távú lakáskiadást."
Hungary,2023. szeptember. 27. 15:28,hvg.hu,https://hvg.hu//elet/20230927_Barki_elhet_ugy_mint_Shrek__kepek,"Skóciában bárki élhet úgy, mint Shrek","Az Airbnb most egy októbertől foglalható, skót mocsárlakkal reklámozza magát.









Mindig is tudni akarta, milyen lehet Shrek mocsarában élni? Akkor van egy jó hírünk: az Airbnb egy félreeső skóciai mocsárban létrehozott egy ogreszállást, amit októbertől lehet lefoglalni.A reklámszöveg szerint a Shrek-lak egy „sáros, mohával borított, zavaros vizű oázis”, amely tökéletes hely ahhoz, hogy az ember elmeneküljön a falusi élet elől, és megcsodálja az igazi természetet.Ez a gyakorlatban azt jelenti, hogy a népszerű animációs film ihlette szálláson nincs se internet, se tévé, sőt az itt nyaralóknak olyan luxusról is le kell mondaniuk, mint a hajszárító, a légkondi vagy a konyha.Shrek’s swamp will be available to book a stay at on Airbnb starting October 13. pic.twitter.com/qyukn9REJw— Pop Crave (@PopCrave) September 26, 2023 A szálláson ugyanakkor van portás, illetve biztosítják a napi háromszori étkezést is azok számára, akik kiveszik a ""lakást"".A mocsári lak pontos címét nem hozták nyilvánosságra, annyit lehet tudni róla, hogy a Newtonmore nevű kisváros közelében van, amely az Edinburgh-nál 180 kilométerrel északabbra fekszik, és a Cairngorms Nemzeti Park területén található."
